1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28 | Canonical units 'string' is not accepted by CF-UNITS for 'region'
1, 2, 3, 4, 5, 6, 7, 8, 9, 10 | Canonical units 'string' is not accepted by CF-UNITS for 'surface_cover'
1 | Aliasing the undefined standard name  'specific_convective_available_potential_energy'  into  'atmosphere_specific_convective_available_potential_energy'
1 | Aliasing the undefined standard name  'atmosphere_so4_content'  into  'atmosphere_sulfate_content'
1 | Aliasing the undefined standard name  'chlorophyll_concentration_in_sea_water'  into  'concentration_of_chlorophyll_in_sea_water'
1 | Aliasing the undefined standard name  'equivalent_thickness_at_stp_of_atmosphere_o3_content'  into  'equivalent_thickness_at_stp_of_atmosphere_ozone_content'
1 | Aliasing the undefined standard name  'longwave_radiance'  into  'isotropic_longwave_radiance_in_air'
1 | Aliasing the undefined standard name  'shortwave_radiance'  into  'isotropic_shortwave_radiance_in_air'
1 | Aliasing the undefined standard name  'spectral_radiance'  into  'isotropic_spectral_radiance_in_air'
1 | Aliasing the undefined standard name  'omega'  into  'lagrangian_tendency_of_air_pressure'
1 | Aliasing the undefined standard name  'vertical_air_velocity_expressed_as_tendency_of_pressure'  into  'lagrangian_tendency_of_air_pressure'
1 | Aliasing the undefined standard name  'upward_air_velocity_expressed_as_tendency_of_sigma'  into  'lagrangian_tendency_of_atmosphere_sigma_coordinate'
1 | Aliasing the undefined standard name  'vertical_air_velocity_expressed_as_tendency_of_sigma'  into  'lagrangian_tendency_of_atmosphere_sigma_coordinate'
1 | Aliasing the undefined standard name  'mass_fraction_of_o3_in_air'  into  'mass_fraction_of_ozone_in_air'
1 | Aliasing the undefined standard name  'mole_fraction_of_o3_in_air'  into  'mole_fraction_of_ozone_in_air'
1 | Aliasing the undefined standard name  'electromagnetic_wavelength'  into  'radiation_wavelength'
1 | Aliasing the undefined standard name  'sea_floor_depth'  into  'sea_floor_depth_below_geoid'
1 | Aliasing the undefined standard name  'sea_surface_elevation'  into  'sea_surface_height_above_geoid'
1 | Aliasing the undefined standard name  'sea_surface_elevation_anomaly'  into  'sea_surface_height_above_geoid'
1 | Aliasing the undefined standard name  'sea_surface_height'  into  'sea_surface_height_above_sea_level'
1 | Aliasing the undefined standard name  'x_sea_water_velocity'  into  'sea_water_x_velocity'
1 | Aliasing the undefined standard name  'y_sea_water_velocity'  into  'sea_water_y_velocity'
1 | Aliasing the undefined standard name  'specific_potential_energy'  into  'specific_gravitational_potential_energy'
1 | Aliasing the undefined standard name  'surface_downwelling_longwave_flux'  into  'surface_downwelling_longwave_flux_in_air'
