1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 85 | ---- Valid and Well-formed
17, 18, 19, 20, 21, 22 | Line 23 : Standard name entry for 'air_density' has no <description>
17, 18, 19, 20, 21, 22 | Line 32 : Standard name entry for 'air_pressure' has no <description>
17, 18, 19, 20, 21, 22 | Line 58 : Standard name entry for 'air_pressure_at_freezing_level' has no <description>
17, 18, 19, 20, 21, 22 | Line 208 : Standard name entry for 'atmosphere_heat_diffusivity' has no <description>
17 | Line 1068 : Standard name entry for 'atmosphere_momentum_diffusivity' has no <description>
17 | Line 1233 : Standard name entry for 'bioluminescent_photon_rate_in_sea_water' has no <description>
17 | Line 1427 : Standard name entry for 'convective_rainfall_rate' has no <description>
17 | Line 1837 : Standard name entry for 'equivalent_temperature' has no <description>
17 | Line 1845 : Standard name entry for 'ertel_potential_vorticity' has no <description>
17 | Line 1873 : Standard name entry for 'freezing_temperature_of_sea_water' has no <description>
17 | Line 1966 : Standard name entry for 'height_above_sea_floor' has no <description>
17 | Line 2087 : Standard name entry for 'kinetic_energy_dissipation_in_atmosphere_boundary_layer' has no <description>
17 | Line 4631 : Standard name entry for 'ocean_barotropic_streamfunction' has no <description>
17 | Line 4663 : Standard name entry for 'ocean_isopycnal_layer_thickness_diffusivity' has no <description>
17 | Line 4852 : Standard name entry for 'ocean_volume' has no <description>
17 | Line 4883 : Standard name entry for 'planetary_albedo' has no <description>
17 | Line 5074 : Standard name entry for 'pseudo_equivalent_temperature' has no <description>
17 | Line 5101 : Standard name entry for 'rainfall_rate' has no <description>
17 | Line 5124 : Standard name entry for 'relative_humidity' has no <description>
17 | Line 5209 : Standard name entry for 'sea_ice_extent' has no <description>
17 | Line 5216 : Standard name entry for 'sea_ice_mass' has no <description>
17 | Line 5232 : Standard name entry for 'sea_ice_temperature' has no <description>
17 | Line 5235 : Standard name entry for 'sea_ice_thickness' has no <description>
17 | Line 5244 : Standard name entry for 'sea_ice_volume' has no <description>
17 | Line 5455 : Standard name entry for 'sea_water_electrical_conductivity' has no <description>
17 | Line 5509 : Standard name entry for 'sea_water_temperature' has no <description>
17 | Line 5570 : Standard name entry for 'snow_density' has no <description>
17 | Line 5573 : Standard name entry for 'snow_grain_size' has no <description>
17 | Line 8209 : Standard name entry for 'time' has no <description>
17 | Line 8341 : Standard name entry for 'tropopause_air_pressure' has no <description>
17 | Line 8745 : Standard name entry for 'wet_bulb_temperature' has no <description>
18, 19, 20 | Line 1076 : Standard name entry for 'atmosphere_momentum_diffusivity' has no <description>
18, 19, 20 | Line 1237 : Standard name entry for 'bioluminescent_photon_rate_in_sea_water' has no <description>
18 | Line 1443 : Standard name entry for 'convective_rainfall_rate' has no <description>
18 | Line 1857 : Standard name entry for 'equivalent_temperature' has no <description>
18 | Line 1865 : Standard name entry for 'ertel_potential_vorticity' has no <description>
