1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 85 | ---- Valid and Well-formed
26 | Element 'alias', attribute 'id': 'net_primary_mole_productivity_of_carbon_by_miscellaneous_phytoplankton' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_mole_productivity_of_carbon_by_phytoplankton' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_mole_productivity_of_carbon_due_to_nitrate_utilization' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_productivity_of_carbon' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_productivity_of_carbon_accumulated_in_leaves' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_productivity_of_carbon_accumulated_in_roots' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_productivity_of_carbon_accumulated_in_wood' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_mole_productivity_of_carbon_by_picophytoplankton' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'atmosphere_specific_convective_available_potential_energy' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'gross_primary_productivity_of_carbon' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_mole_productivity_of_carbon_by_calcareous_phytoplankton' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_mole_productivity_of_carbon_by_diatoms' is not a valid value of the atomic type 'xs:ID'.
26 | Element 'alias', attribute 'id': 'net_primary_mole_productivity_of_carbon_by_diazotrophs' is not a valid value of the atomic type 'xs:ID'.
83, 84 | Element 'entry', attribute 'id': 'drainage_amount_through_base_of_soil_model' is not a valid value of the atomic type 'xs:ID'.
